Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2022-05-30,000060,메리츠화재,KOSPI,,39300,2,-500,-1.26,39800,40400,39300,111914,4443420550,4740562500000,120625000,STK,77
2022-05-30,267250,HD현대,KOSPI,,59900,1,600,1.01,59100,60000,59100,113808,6794709900,4731685791500,78993085,STK,78
2022-05-30,000720,현대건설,KOSPI,,42450,1,350,0.83,42450,42650,42300,271725,11547196750,4727052224250,111355765,STK,79
2022-05-30,028300,HLB,KOSDAQ,중견기업부,44000,2,-2950,-6.28,46450,47350,43350,2238474,100875717650,4693579968000,106672272,KSQ,80
2022-05-30,005830,DB손해보험,KOSPI,,65200,2,-500,-0.76,66300,66700,65100,97538,6418579500,4616160000000,70800000,STK,81
2022-05-30,000100,유한양행,KOSPI,,60200,1,400,0.67,60200,60500,59800,114368,6878332200,4408534855200,73231476,STK,82
2022-05-30,161390,한국타이어앤테크놀로지,KOSPI,,35100,1,250,0.72,35000,35250,34700,254896,8912881500,4348014921900,123875069,STK,83
2022-05-30,138040,메리츠금융지주,KOSPI,,31950,2,-800,-2.44,32500,32900,31950,112386,3616116550,4187088843300,131051294,STK,84
2022-05-30,078930,GS,KOSPI,,44550,2,-100,-0.22,44900,44950,44250,223806,9962158900,4139380089900,92915378,STK,85
2022-05-30,008560,메리츠증권,KOSPI,,6140,2,-30,-0.49,6190,6250,6110,747190,4599675240,4051114155060,659790579,STK,86
2022-05-30,036460,한국가스공사,KOSPI,,43700,2,-900,-2.02,44700,44950,43550,208057,9144901500,4034078100000,92313000,STK,87
2022-05-30,263750,펄어비스,KOSDAQ,우량기업부,62700,1,100,0.16,63500,63900,62600,311615,19634916400,4027525408500,64234855,KSQ,88
2022-05-30,028670,팬오션,KOSPI,,7510,2,-570,-7.05,8070,8120,7510,9909623,75883536090,4014617035120,534569512,STK,89
2022-05-30,071050,한국금융지주,KOSPI,,71200,1,800,1.14,71000,71400,70100,153796,10920120100,3967690630400,55725992,STK,90
2022-05-30,003410,쌍용C&E,KOSPI,,7800,1,20,0.26,7810,7830,7780,291764,2275686840,3930104841000,503859595,STK,91
2022-05-30,029780,삼성카드,KOSPI,,33700,2,-150,-0.44,33850,34100,33700,73682,2502917050,3904444626700,115858891,STK,92
2022-05-30,020150,일진머티리얼즈,KOSPI,,83700,1,4800,6.08,79700,85300,78800,1048327,86615341600,3859476889500,46110835,STK,93
2022-05-30,128940,한미약품,KOSPI,,312000,3,0,0.0,312500,317000,311000,17801,5588600500,3843206952000,12317971,STK,94
2022-05-30,180640,한진칼,KOSPI,,56700,2,-600,-1.05,56800,58400,56600,51321,2949401700,3785363668800,66761264,STK,95
2022-05-30,271560,오리온,KOSPI,,95200,2,-200,-0.21,95900,96500,95000,44527,4255572400,3763839766400,39536132,STK,96
2022-05-30,241560,두산밥캣,KOSPI,,37500,2,-50,-0.13,37850,38100,37350,1439527,53991192100,3759343725000,100249166,STK,97
2022-05-30,002790,아모레G,KOSPI,,45100,1,600,1.35,44650,45400,44650,95476,4304347650,3718863918000,82458180,STK,98
2022-05-30,307950,현대오토에버,KOSPI,,134500,1,2000,1.51,134000,135000,132000,42373,5672939500,3688525579000,27423982,STK,99
2022-05-30,004990,롯데지주,KOSPI,,35150,1,450,1.3,34900,35250,34850,96262,3377672400,3687559680550,104909237,STK,100
2022-05-30,005940,NH투자증권,KOSPI,,10700,1,150,1.42,10650,10800,10600,585508,6272231700,3548825354700,331665921,STK,101
2022-05-30,016360,삼성증권,KOSPI,,39450,1,300,0.77,39500,39550,39300,195297,7703136350,3522885000000,89300000,STK,102
2022-05-30,006360,GS건설,KOSPI,,40050,1,550,1.39,39850,40150,39700,370648,14817440800,3427538674500,85581490,STK,103
2022-05-30,005387,현대차2우B,KOSPI,,92800,1,200,0.22,93100,93200,92300,51239,4754336300,3385849852800,36485451,STK,104
2022-05-30,008930,한미사이언스,KOSPI,,49100,1,200,0.41,49000,49750,48850,54823,2702930050,3369422884400,68623684,STK,105
2022-05-30,010620,현대미포조선,KOSPI,,82700,2,-500,-0.6,83200,84400,81800,169936,14104384600,3303215722300,39942149,STK,106
2022-05-30,139480,이마트,KOSPI,,117000,1,2000,1.74,116000,119000,115500,148682,17425383000,3261470823000,27875819,STK,107
2022-05-30,282330,BGF리테일,KOSPI,,185500,3,0,0.0,185500,188000,185000,19987,3723823000,3206164563000,17283906,STK,108
2022-05-30,002380,KCC,KOSPI,,355000,1,3000,0.85,354500,359000,351500,32597,11547853000,3154697205000,8886471,STK,109
2022-05-30,000990,DB하이텍,KOSPI,,69900,1,500,0.72,70600,70700,69600,293744,20532750300,3103461301200,44398588,STK,110
2022-05-30,010060,OCI,KOSPI,,128500,1,1000,0.78,129000,130500,125500,526445,67661933000,3064644173500,23849371,STK,111
2022-05-30,008770,호텔신라,KOSPI,,77500,1,1900,2.51,76300,77900,76300,333706,25799462400,3041729377500,39248121,STK,112
2022-05-30,068760,셀트리온제약,KOSDAQ,우량기업부,80500,1,1200,1.51,80200,81300,79400,60179,4839261700,3033324766500,37681053,KSQ,113
2022-05-30,014680,한솔케미칼,KOSPI,,266500,1,11500,4.51,260000,267000,257000,66452,17573198000,3020829467500,11335195,STK,114
2022-05-30,272210,한화시스템,KOSPI,,15850,1,50,0.32,15950,16050,15800,285794,4542138600,2994372315650,188919389,STK,115
2022-05-30,030000,제일기획,KOSPI,,25850,1,50,0.19,25850,26300,25750,178433,4633063500,2973815666250,115041225,STK,116
2022-05-30,000120,CJ대한통운,KOSPI,,129500,1,500,0.39,130000,130500,129000,21877,2840663000,2954198548000,22812344,STK,117
2022-05-30,112040,위메이드,KOSDAQ,우량기업부,87000,1,8000,10.13,81000,89000,80500,2453281,210937317000,2920890846000,33573458,KSQ,118
2022-05-30,026960,동서,KOSPI,,29050,1,1450,5.25,27650,29400,27650,221864,6379762150,2896285000000,99700000,STK,119
2022-05-30,047050,포스코인터내셔널,KOSPI,,23400,2,-350,-1.47,23850,24000,23350,324790,7666411200,2886978486600,123375149,STK,120
2022-05-30,023530,롯데쇼핑,KOSPI,,100000,1,1900,1.94,98300,101000,98300,94010,9401305200,2828875500000,28288755,STK,121
2022-05-30,007070,GS리테일,KOSPI,,26900,1,600,2.28,26450,27000,26400,320302,8588381100,2816912101800,104717922,STK,122
2022-05-30,001450,현대해상,KOSPI,,31400,2,-200,-0.63,31650,32150,31200,320740,10178619100,2807160000000,89400000,STK,123
2022-05-30,052690,한전기술,KOSPI,,73200,3,0,0.0,73900,74300,72800,142039,10411163400,2797704000000,38220000,STK,124
2022-05-30,012750,에스원,KOSPI,,72900,2,-100,-0.14,72600,73500,72600,38294,2795385900,2770140076200,37999178,STK,125
2022-05-30,012450,한화에어로스페이스,KOSPI,,53800,1,1500,2.87,52800,54300,52700,309950,16641128300,2723894000000,50630000,STK,126
2022-05-30,047040,대우건설,KOSPI,,6510,1,70,1.09,6510,6590,6430,1189498,7753681240,2705703373380,415622638,STK,127
2022-05-30,278280,천보,KOSDAQ,우량기업부,269700,1,2700,1.01,271500,271800,267500,39580,10641737700,2697000000000,10000000,KSQ,128
2022-05-30,001440,대한전선,KOSPI,,2160,1,35,1.65,2150,2230,2135,50520262,110189181295,2688061699440,1244473009,STK,129
2022-05-30,138930,BNK금융지주,KOSPI,,7890,1,50,0.64,7890,7930,7870,584635,4617000430,2571629090940,325935246,STK,130
2022-05-30,000080,하이트진로,KOSPI,,36200,2,-50,-0.14,36300,36650,36100,128129,4660845200,2538836718200,70133611,STK,131
2022-05-30,336260,두산퓨얼셀,KOSPI,,38300,1,850,2.27,38450,38600,37700,529960,20261966900,2508409705800,65493726,STK,132
2022-05-30,204320,만도,KOSPI,,53400,1,1400,2.69,52300,53700,52200,241375,12811437900,2507510208000,46957120,STK,133
2022-05-30,039490,키움증권,KOSPI,,95400,1,1500,1.6,94100,95700,94100,40908,3890469600,2501341540200,26219513,STK,134
2022-05-30,004170,신세계,KOSPI,,254000,1,5500,2.21,249000,255500,248500,41460,10518779500,2500675974000,9845181,STK,135
2022-05-30,035760,CJ ENM,KOSDAQ,우량기업부,113100,1,3100,2.82,117000,117000,112900,192413,22021544200,2480187317400,21929154,KSQ,136
2022-05-30,001040,CJ,KOSPI,,84200,1,1800,2.18,83900,85000,83100,45794,3860207500,2456703231600,29176998,STK,137
2022-05-30,196170,알테오젠,KOSDAQ,기술성장기업부,57300,1,1900,3.43,56400,57400,55400,186985,10605695900,2443700833200,42647484,KSQ,138
2022-05-30,058470,리노공업,KOSDAQ,우량기업부,158100,1,800,0.51,157700,159100,157300,67670,10707413358,2409818697000,15242370,KSQ,139
2022-05-30,298050,효성첨단소재,KOSPI,,521000,1,36500,7.53,506000,522000,501000,92039,47432579000,2334052908000,4479948,STK,140
2022-05-30,042660,대우조선해양,KOSPI,,21750,2,-100,-0.46,22200,22350,21600,233668,5138855100,2333572050750,107290669,STK,141
2022-05-30,253450,스튜디오드래곤,KOSDAQ,우량기업부,77500,1,1000,1.31,77500,78100,76900,83054,6443957600,2326099337500,30014185,KSQ,142
2022-05-30,096530,씨젠,KOSDAQ,우량기업부,44100,1,650,1.5,43800,44200,43250,250290,10996651750,2303166335400,52225994,KSQ,143
2022-05-30,112610,씨에스윈드,KOSPI,,54300,1,600,1.12,54800,54800,53700,137017,7414384300,2289907182900,42171403,STK,144
2022-05-30,088350,한화생명,KOSPI,,2625,3,0,0.0,2655,2685,2625,1404625,3718007345,2279891250000,868530000,STK,145
2022-05-30,005385,현대차우,KOSPI,,93600,1,500,0.54,93500,93700,92800,20404,1904391600,2279785716000,24356685,STK,146
2022-05-30,006280,녹십자,KOSPI,,191000,1,1500,0.79,190000,192000,189000,16976,3241382000,2232128758000,11686538,STK,147
2022-05-30,285130,SK케미칼,KOSPI,,126500,1,1000,0.8,127500,128000,126000,30620,3889137500,2229028670000,17620780,STK,148
2022-05-30,005290,동진쎄미켐,KOSDAQ,우량기업부,42800,1,250,0.59,43300,43450,42400,578035,24736933100,2200540343200,51414494,KSQ,149
2022-05-30,093370,후성,KOSPI,,23450,1,250,1.08,23550,23700,23150,2197219,51487506900,2171629905550,92606819,STK,150
2022-05-30,004000,롯데정밀화학,KOSPI,,83500,2,-1400,-1.65,85000,85500,83100,105477,8846412000,2154300000000,25800000,STK,151
2022-05-30,000880,한화,KOSPI,,28550,1,550,1.96,28250,28750,28200,174187,4966822150,2140071884250,74958735,STK,152
2022-05-30,051915,LG화학우,KOSPI,,277500,1,2000,0.73,278000,279000,272000,15953,4424164500,2133642000000,7688800,STK,153
2022-05-30,357780,솔브레인,KOSDAQ,중견기업부,272000,1,200,0.07,275200,277400,268600,23865,6494736100,2115769952000,7778566,KSQ,154
2022-05-30,336370,솔루스첨단소재,KOSPI,,60200,1,600,1.01,60300,61200,59600,176698,10643906400,2113693939000,35111195,STK,155
2022-05-30,108320,LX세미콘,KOSDAQ,우량기업부,127800,1,4800,3.9,126000,128400,124300,135079,17152015000,2078577540000,16264300,KSQ,156
2022-05-30,111770,영원무역,KOSPI,,46900,1,550,1.19,47000,47550,46600,72540,3412412000,2078207849200,44311468,STK,157
2022-05-30,064350,현대로템,KOSPI,,18900,1,350,1.89,18750,19000,18750,381923,7204253900,2062789337700,109142293,STK,158
2022-05-30,069620,대웅제약,KOSPI,,174000,2,-1500,-0.85,178000,178000,174000,14919,2618891000,2016064050000,11586575,STK,159
2022-05-30,035900,JYP Ent.,KOSDAQ,우량기업부,56600,1,2200,4.04,55400,57700,55100,588328,33363820900,2009158047200,35497492,KSQ,160
2022-05-30,086520,에코프로,KOSDAQ,우량기업부,82100,1,1400,1.73,81500,82500,80700,209559,17077219100,2007416837500,24450875,KSQ,161
2022-05-30,375500,DL이앤씨,KOSPI,,51700,1,800,1.57,51300,52000,50700,234172,12103533500,2000460309100,38693623,STK,162
2022-05-30,006260,LS,KOSPI,,61800,1,2200,3.69,60800,62500,60300,177377,10906305300,1989960000000,32200000,STK,163
2022-05-30,240810,원익IPS,KOSDAQ,우량기업부,39300,1,700,1.81,39350,39650,38900,260882,10253493400,1928997309300,49083901,KSQ,164
2022-05-30,237690,에스티팜,KOSDAQ,중견기업부,102200,1,800,0.79,101900,102400,101000,53622,5458002500,1922256805000,18808775,KSQ,165
2022-05-30,120110,코오롱인더,KOSPI,,67900,1,3700,5.76,65900,68000,65100,322217,21600159500,1868546278900,27519091,STK,166
2022-05-30,081660,휠라홀딩스,KOSPI,,30600,1,300,0.99,30400,30750,30350,183529,5611856000,1859017993200,60752222,STK,167
2022-05-30,069960,현대백화점,KOSPI,,79300,1,1500,1.93,78400,79500,78100,101502,8031663200,1855813571300,23402441,STK,168
2022-05-30,005300,롯데칠성,KOSPI,,195500,1,3000,1.56,194000,200000,192500,38578,7551426500,1814021822000,9278884,STK,169
2022-05-30,298020,효성티앤씨,KOSPI,,419000,1,23500,5.94,400000,419000,400000,53518,22165956000,1813298758000,4327682,STK,170
2022-05-30,004800,효성,KOSPI,,85200,1,1200,1.43,84300,85400,84300,44242,3761499400,1795251330000,21071025,STK,171
2022-05-30,011210,현대위아,KOSPI,,64600,1,700,1.1,64600,65000,64000,107800,6945620900,1756802361800,27195083,STK,172
2022-05-30,175330,JB금융지주,KOSPI,,8860,1,30,0.34,8830,8920,8830,123936,1100296390,1745268440840,196982894,STK,173
2022-05-30,079550,LIG넥스원,KOSPI,,79300,1,800,1.02,79000,81300,78800,176775,14132812900,1744600000000,22000000,STK,174
2022-05-30,003090,대웅,KOSPI,,29600,2,-450,-1.5,30350,30400,29550,41639,1243649150,1721002608000,58141980,STK,175
2022-05-30,001230,동국제강,KOSPI,,17950,1,100,0.56,18000,18150,17900,367355,6610767450,1713017629150,95432737,STK,176
2022-05-30,016380,KG스틸,KOSPI,,17000,1,50,0.29,17050,17200,16750,1093203,18555077300,1700151249000,100008897,STK,177
2022-05-30,004370,농심,KOSPI,,276500,1,500,0.18,277500,278500,276000,13537,3749512000,1681850513000,6082642,STK,178
2022-05-30,051600,한전KPS,KOSPI,,37300,2,-350,-0.93,37850,38150,37300,137631,5166032050,1678500000000,45000000,STK,179
2022-05-30,041510,에스엠,KOSDAQ,우량기업부,70300,1,1500,2.18,70000,71900,69600,321890,22689182800,1671973090300,23783401,KSQ,180
2022-05-30,007310,오뚜기,KOSPI,,452500,3,0,0.0,452500,456500,450500,1640,744276000,1661571402500,3671981,STK,181
2022-05-30,009240,한샘,KOSPI,,70400,1,1000,1.44,70100,71600,70000,51173,3622660100,1656788531200,23533928,STK,182
2022-05-30,025900,동화기업,KOSDAQ,우량기업부,82000,1,200,0.24,83000,83300,81100,77242,6307324600,1656496514000,20201177,KSQ,183
2022-05-30,353200,대덕전자,KOSPI,,33500,1,1000,3.08,33050,33550,32800,516793,17241962250,1655466987500,49416925,STK,184
2022-05-30,222800,심텍,KOSDAQ,우량기업부,50700,1,700,1.4,50700,51400,50100,435573,22051161500,1615005050100,31854143,KSQ,185
2022-05-30,014820,동원시스템즈,KOSPI,,55200,2,-1100,-1.95,56700,57300,54900,35381,1970297100,1611200287200,29188411,STK,186
2022-05-30,005070,코스모신소재,KOSPI,,53500,3,0,0.0,54000,54200,52700,387175,20663339800,1609648561500,30086889,STK,187
2022-05-30,064760,티씨케이,KOSDAQ,우량기업부,137700,1,2100,1.55,141600,141800,135600,52297,7224406100,1607647500000,11675000,KSQ,188
2022-05-30,271940,일진하이솔루스,KOSPI,,43400,1,150,0.35,43500,44050,43300,92852,4053396100,1575992446000,36313190,STK,189
2022-05-30,225570,넥슨게임즈,KOSDAQ,중견기업부,23700,1,100,0.42,24000,24150,23450,573153,13621890200,1557906915300,65734469,KSQ,190
2022-05-30,010780,아이에스동서,KOSPI,,49950,1,2350,4.94,48100,50300,48100,125681,6224921600,1543085669700,30892606,STK,191
2022-05-30,048260,오스템임플란트,KOSDAQ,투자주의환기종목(소속부없음),107900,1,1000,0.94,107700,109100,106900,91987,9917630100,1541428864300,14285717,KSQ,192
2022-05-30,145020,휴젤,KOSDAQ,우량기업부,123200,1,600,0.49,124600,124700,122400,25271,3118166400,1525888056000,12385455,KSQ,193
2022-05-30,056190,에스에프에이,KOSDAQ,우량기업부,41850,2,-550,-1.3,42600,43050,41400,132025,5535817900,1502781606000,35908760,KSQ,194
2022-05-30,067630,HLB생명과학,KOSDAQ,중견기업부,15600,2,-800,-4.88,16200,16700,15350,3230841,51484312600,1489770063600,95498081,KSQ,195
2022-05-30,034230,파라다이스,KOSDAQ,중견기업부,16350,1,50,0.31,16400,16550,16300,436290,7158000850,1486912687200,90942672,KSQ,196
2022-05-30,139130,DGB금융지주,KOSPI,,8770,1,20,0.23,8810,8810,8750,223015,1957908860,1483408955410,169145833,STK,197
2022-05-30,001120,LX인터내셔널,KOSPI,,38000,2,-1200,-3.06,39500,39550,38000,320853,12390922550,1472880000000,38760000,STK,198
2022-05-30,010120,LS ELECTRIC,KOSPI,,49050,1,350,0.72,49300,49750,49000,39395,1944798650,1471500000000,30000000,STK,199
2022-05-30,365550,ESR켄달스퀘어리츠,KOSPI,,6890,2,-140,-1.99,7010,7010,6870,255673,1763614475,1468183210000,213089000,STK,200
